A.M.; n.午前; 上午
AID, n.艾滋病
sham, n.遗憾的事; 羞愧
shap, n.形状; 外形
shar, vt.分享; 共同使用
shar, n.鲨鱼
shar, a.锋利的; 尖的
sharpe, v.变锐利; 削尖
sharpene, n.削尖用的器具
shav, v.刮
shave, n.理发师; 刮胡须的用具; 骗子。
sh, pron.她
shee, n.羊; 羊皮; 驯服者
shee, n.成幅的薄片; 薄板
shel, n.架子; 搁板; 格层; 礁; 陆架
shelte, n.掩蔽; 隐蔽处
shin, n.光泽; 光彩; 阳光; 晴天; 光
shi, n.船; 轮船
shir, vn.男衬衫
shoc, vt.使震惊
sho, n.鞋
shoo, vt.射击; 射中; 发射
shootin, n.射击
sho, vi.买东西
shopassistan, 售货员
shopkeepe, n.店主; 零售商人
shoppin, n.买东西
shor, n.滨; 岸
shor, a.短的; 矮的
shortcomin, n.缺点; 短处
shortl, ad.不久
short, n.短裤; 运动短裤
shortwav, [weɪv]n.短波
sho, n.射击; 开枪; 开炮; 射击声; 子弹
shoul, v.mod.应当; 应该; 会
shoulde, n.肩膀;路肩
shou, n.&v.喊; 高声呼喊
sho, v.给…看;出示;显示
showe, n.阵雨; 淋浴
shrin, v.缩小; 收缩; 减少
shu, v.&n.关上; 封闭; 禁闭; 
shuttl, vn.合拢班车[机
shy, a.害羞的
sic, a.有病;患病的;呕吐
sicknes, n.疾病
sid, n.边; 旁边; 面; 侧面
sideroa, n.人行道
sidewa, n.岔路; 旁路
sideway, ad.斜向一边的
sig, vi.叹息; 叹气
sigh, n.情景; 风景; 视力
sightseein, n.游览; 观光
sig, n.符号; 标记
signa, n.信号; 暗号
signatur, n.签名
significanc, n.重要性; 意义
silenc, n.安静; 沉默
sil, n.丝; 丝织品
sill, a.傻的; 愚蠢的
silve, n.银
simila, a.相似的; 像
simpl, a.简单的; 简易的
simple-minde, a.纯朴;头脑简单
simplif, v.使简化; 使简易
simpl, ad.简单地;的确
sinc, ad.从那时以来
sincerel, ad.真诚地
sin, v.唱; 唱歌
singe, n.歌唱家; 歌手
singl, a.单一的; 单个的
sin, vi.下沉; 消沉
si, n.先生; 阁下
siste, n.姐; 妹
sister-in-la, n.嫂; 弟媳
si, vi.坐
situatio, n.形势; 情况
si, num.六
sixtee, num.十六
sixteent, num.第十六
sixt, num.第六
sixt, num.六十
siz, n.尺寸; 大小
skat, vi.溜冰; 滑冰
skateboar, n.冰鞋; 滑板
sk, n.&vi.滑雪板; 滑雪
skil, n.技能; 技巧
skille, a.熟练的; 有技能的
skillfu, a.熟练;精湛的;灵巧的
skillfull, ad.精湛地;巧妙地
ski, n.皮; 皮肤; 兽皮
ski, v.蹦蹦跳跳; 跳绳
skippin, rope绳
skir, n.女裙
sk, n.天; 天空
skyscrape, n.摩天楼
slav, n.奴隶
slaver, n.奴隶制度
slee, vi.睡觉
sleep, a.想睡的;困倦的;瞌睡的
sleev, n.袖子; 袖套
slic, n.片; 切面片
slid, n.幻灯片;滑道
sligh, a.轻微的; 细小的
sli, a.苗条的; 纤细的
sli, n.片; 条; 纸片; 纸条
slo, ad.慢慢地; 缓慢地
smal, a.小的; 少的
smar, a.灵巧的; 伶俐的; 时髦的; 帅的
smel, v.嗅; 闻到; 发气味
smell, a.有臭味的;发出臭味的
smil, n.&v.微笑
smode, a.稳固的; 牢固的
smo, n.烟雾
smok, n.烟
smoke-fre, a.非吸烟的;无烟的
smoke, n.吸烟者
smokin, n.吸烟;抽烟;冒烟
smoot, a.光滑的;平坦的
snac, n.小吃
snackba, n.快餐店
snak, n.蛇
snatc, v.夺; 夺得; 夺走
sneake, n.
sneez, v.打喷嚏
snif, v.抽鼻子
sno, n.雪
snowbal, n.雪球
snowma, n.雪人
snow, a.雪的; 下雪的; 多雪的
s, ad.如此; 这么; 非常; 同样
so-s, a.一般; 不怎么样; 凑合
soa, n.肥皂
so, n.&v.抽泣; 啜泣
socce, n.英式足球
socia, a.社会的; 社交的
socialis, n.社会主义
socialis, a.社会主义的
societ, n.社会
soc, n.短袜
socke, n.插座
sof, n.沙发
softbal, n.垒球
softdrin, n.清凉饮料
softwar, n.软件
soi, n.土壤; 土地
sola, a.太阳的
soldie, n.士兵; 战士
soli, a.结实的;固体的
som, a.一些; 若干; 有些; 某一
somebod, pron.某人; 有人; 有名气的人
someon, pron.某一个人
somethin, pron.某事; 某物
sometime, ad.有时
somewher, ad.在某处
so, n.儿子
son, n.歌唱; 歌曲
soo, ad.不久;很快;一会儿
sorro, n.悲伤; 悲痛
sorr, a.对不起;抱歉;难过的
sor, v]t.把…分类; 拣选
sou, n.灵魂; 心灵; 气魄
soun, vi.听起来;发出声音
sou, n.汤
sou, a.酸的; 馊的
sout, a.南的; 向南的; 从南来的
souther, a.南部的; 南方的
southwes, n.西南
souvenir, n.旅游纪念品;纪念物
so, vt.播种
spac, n.空间
spaceshi, n.宇宙飞船
spad, n.铲子;纸牌中的黑桃
spar, a.空闲;多余的; 剩余的
sparro, n.麻雀; 雀型鸟类
spea, v.说; 讲; 谈话; 发言
speake, n.演讲人; 演说家
spea, n.矛; 枪; 梭镖
specia, a.特别的; 专门的
specialis, n.专家; 专科医生; 专家; 专业人员
specifi, a.明确的;具体的;独特的
speec, n.演讲
spee, n.速度
spel, vt.拼写
spellin, n.拼写; 拼读
spen, v.度过; 花费
spi, v.&n.纺; 快速旋转; 旋转; 旋转运动
spiri, n.精神
spiritua, a.精神的; 心灵的
spi, v.吐唾沫; 吐痰
splendi, a.灿烂的; 辉煌的; 极好的
spli, v.撕开;切开
spoke, a.口语的
spokenma, n.发言人
sponso, n.赞助者; 赞助商
spoo, n.匙;调羹
spoonfu, n.一匙
spor, vn.体育运动; 锻炼; 运动会
spo, n.斑点; 污点; 场所; 地点
spra, n.&v.水雾;喷雾喷洒
sprea, v.延伸; 展开
sprin, n.春天;春季
sp, n.密探;间谍
squar, n.广场
squeez, n.挤压; 捏; 塞
squi, n.鱿鱼
squirre, n.松鼠
stadiu, n.体育场
staf, n.全体职工
stag, n.舞台; 阶段
stai, n.污点; 污渍; 染色剂
stainles, a.无污点的
stainlessstee, 不锈钢
stai, n.楼梯
stam, n.邮票
stan, v.站; 立; 起立; 坐落; 经受; 持久
standar, n.&a.标准
sta, n.星; 恒星
star, vi.盯; 凝视
star, v.开始; 着手; 出发
starvatio, n.饥饿; 饿死
starv, v.饿死
stat, n.状态; 情形; 国家; 州
statemen, n.声明; 陈诉; 说法
statesma, n.政治家
statesman[woma, n.政治家
statio, n.站; 所; 车站; 电台
statistic, n.统计数字; 统计资料; 统计学
statu, n.法令; 法规; 章程
statu, n.法律地位
sta, n.&vi.停留; 逗留; 呆
stead, a.稳固的; 平稳的
stea, n.牛排; 肉排; 鱼排
stea, vt.偷;窃取
stea, n.汽; 水蒸气
stee, n.钢; 钢铁
stee, a.险峻的; 陡峭的
ste, n.脚步;台阶;梯级
step-mothe, n.继母
stewar, n.男服务员; 男乘务员
stewardes, n.女乘务员;空中小姐
stic, vi.粘住; 钉住; 坚持
stil, a.不动的;平静的
stockin, n.长统袜
stomac, n.胃; 胃部
stomachach, n.胃疼
ston, n.石头; 石料
sto, n.停; 站
stopwatc, n.记秒表; 跑表
storag, n.贮藏; 储存
stor, n.商店
stor, n.风暴; 暴雨
stor, n.故事; 小说
stou, a.肥壮的; 厚实牢固的
stov, n.火炉; 煤炉; 电炉
straigh, a.一直的; 直的
straightforwar, a.&ad.简单的; 坦率的
strai, n.海峡
strang, a.奇怪;奇特的;陌生的
strange, n.陌生人; 外人
stra, n.稻草
strawberr, n.草莓
strea, n.小河; 溪流
stree, n.街; 街道
strengt, n.力量; 力气
strengthe, vt.加强; 增强
stres, n.精神压力; 心理负担
stricke, vt.擦火;侵袭
stric, a.严格的; 严密的
strik, v.鸣;敲;罢工
strin, n.细绳; 线; 带
stron, a.强的; 坚固的; 强烈的; 坚强的
struc, vt.擦火;侵袭
struggl, vi.斗争
stubbor, a.固执的; 倔强的
studen, n.学生
studi, n.工作室; 演播室
stud, v.学习; 研究
stupi, a.愚蠢的; 笨的
styl, n.方式; 作风; 款式
subjec, a.隶属的; 受支配的; 易受…的; 在…条件下
subjectiv, a.主观的
submi, v.提交; 呈递
subscrib, v.订阅;订购
substitut, v.代替; 取代
subtractio, n.减
succee, vi.成功
succes, n.成功
successfu, a.成功的;有成就的
suc, ad.那么
suc, vt.吸吮
sudde, a.突然的
suffe, vi.受苦; 遭受
sufferin, n.痛苦; 苦难
suga, n.糖
sugges, vt.建议; 提议
suggestio, n.建议
suimode, a.合适的; 适宜的
sui, vt.适合
suitcas, n.小提箱;衣箱
suit, n.套间; 组曲
summar, n.摘要; 概要
summe, n.夏天; 夏季
su, n.太阳; 阳光
sunburn, a.晒黑的
sunglasse, n.太阳眼镜; 墨镜
sunligh, n.日光; 阳光
sunn, a.晴朗的;阳光充足的
sunris, n.黎明; 拂晓
sunse, n.日落
sunshin, n.阳光
supe, a.顶好的; 超级的
super, a.卓越的;质量极高的
superio, a.更胜一筹的
superma, n.超人
supermarke, n.超级市场
suppe, n.晚餐; 晚饭
suppl, vt.&n.供给; 供应
suppor, vt.&n.支持; 赞助
suppos, vt.猜想;假定;料想
suprem, a.至高无上的;最高的
sur, a.确信; 肯定
surfac, n.表面
surgeo, n.外科医生
surplu, n.过剩; 剩余
surpris, vt.使惊奇;使诧异
surroun, vt.围绕; 包围
surroundin, a.周围的
surviva, n.存活; 幸存
surviv, v.生存; 存活; 幸免于难
suspec, n.犯罪嫌疑人
suspensio, n.暂令停职;推迟;延期
swallo, vt.吞下; 咽下
swa, v.交换
swea, v.咒骂; 诅咒
swea, n.汗; 汗水
sweate, n.厚运动衫; 毛衣 
swee, v.扫除; 扫
swee, n.甜食;蜜饯;甜点;糖果;芳香
swel, v.肿胀
swif, a.快的; 迅速的
swi, vi.游泳;游
swimmin, n.游泳
swimmingpoo, n.游泳池
swin, vt.挥舞; 摆动
switc, v.&n.开关;转换;改变
swor, n.剑; 刀
symbo, n.象征
sympath, n.同情
symphon, n.交响乐
sympto, n.症状
syste, n.体系; 系统
systemati, a.系统的;有条理的
tai, n.尾巴
tailo, n.裁缝
tak, vt.拿; 拿走; 做; 服用; 乘坐; 花费
take, vt.拿; 拿走; 做; 服用; 乘坐; 花费
tal, n.故事;传说
talen, n.天才; 天赋
tal, n.&v.谈话;讲话;演讲;交谈
